RULES,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
0100,1,1-12,1-16,
0100,2,1-28,1-16,
0100,3,1-44,1-16,
0100,4,1-64,1-16,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
0140,1-3,23-56,1-2,1-2
0150,1-3,1-22,1-2,1
0160,1-3,1-22,1-2,2
,,,,
EXCEPTIONS,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
