RULES,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
2403,1,1-12,1-8,
2413,2,1-28,1-8,
2423,3,1-28,1-8,
2433,4,1-44,1-8,
2021,3,1-44,5-8,
720,4,1-64,1-4,
820,4,1-64,5-8,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
2443,1-3,23-56,1-2,1
2453,1-3,1-22,1-2,1
2463,1-3,1-22,1-2,2
2473,1-3,23-56,1-2,2
,,,,
EXCEPTIONS,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
,,,,
