RULES,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
1108,1,1-12,1-8,
1318,2,1-28,1-4,
1418,2,1-28,5-8,
1921,3,1-44,1-4,
2021,3,1-44,5-8,
731,4,1-64,1-4,
831,4,1-64,5-8,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
2148,1-3,23-56,1-2,1
2258,1-3,1-22,1-2,1
2268,1-3,1-22,1-2,2
2178,1-3,23-56,1-2,2
,,,,
EXCEPTIONS,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
1853,3,16,1,1
1853,3,17,1,1
1853,3,7,1,1
1853,3,8,1,1
1853,3,9,1,1
1853,3,15,1,1
1853,1,19,2,1
1853,1,18,2,1
1853,1,6,2,1
1853,1,5,2,1
1853,1,4,2,1
1853,1,3,2,1
1853,1,2,2,1
1853,1,1,2,1
1853,1,22,2,1
1853,1,21,2,1
1853,1,20,2,1
1869,3,16,1,2
1869,3,17,1,2
1869,3,7,1,2
1869,3,8,1,2
1869,3,9,1,2
1869,3,15,1,2
1869,1,19,2,2
1869,1,18,2,2
1869,1,6,2,2
1869,1,5,2,2
1869,1,4,2,2
1869,1,3,2,2
1869,1,2,2,2
1869,1,1,2,2
1869,1,22,2,2
1869,1,21,2,2
1869,1,20,2,2
1749,3,32,1,1
1749,3,33,1,1
1749,3,34,1,1
1749,3,35,1,1
1773,3,32,1,2
1773,3,33,1,2
1773,3,34,1,2
